Found MCP9808!
Ready
Initial Temp: 25.1875*C
Starting at Power level 5
Temp2: 30.90
Temp: 27.6875*C
Temp2: 30.90
Temp: 27.6875*C
Temp2: 30.90
Temp: 27.6875*C
Temp2: 30.90
Temp: 27.6875*C
Temp2: 30.90
Temp: 27.6875*C
Temp2: 31.00
Temp: 27.7500*C
Temp2: 31.00
Temp: 27.6875*C
Temp2: 31.00
Temp: 27.8125*C
Temp2: 31.00
Temp: 27.7500*C
Temp2: 31.10
Temp: 27.7500*C
Temp2: 31.00
Temp: 27.7500*C
Temp2: 31.10
Temp: 27.7500*C
Temp2: 31.10
Temp: 27.8125*C
Temp2: 31.10
Temp: 27.8125*C
Temp2: 31.10
Temp: 27.8750*C
Temp2: 31.10
Temp: 27.8125*C
Temp2: 31.10
Temp: 27.8125*C
Temp2: 31.10
Temp: 27.8125*C
Temp2: 31.20
Temp: 27.8750*C
Temp2: 31.10
Temp: 27.8750*C
Temp2: 31.10
Temp: 27.8750*C
Temp2: 31.20
Temp: 27.8750*C
Temp2: 31.20
Temp: 27.8750*C
Temp2: 31.20
Temp: 27.8750*C
Temp2: 31.20
Temp: 27.9375*C
Temp2: 31.20
Temp: 27.9375*C
Temp2: 31.20
Starting at Power level 40
Temp: 27.9375*C
Temp2: 31.20
Temp: 27.9375*C
Temp2: 31.30
Temp: 27.9375*C
Temp2: 31.20
Temp: 28.0000*C
Temp2: 31.30
Temp: 28.0000*C
Temp2: 31.30
Temp: 28.0000*C
Temp2: 31.30
Temp: 28.0000*C
Temp2: 31.40
Temp: 28.0000*C
Temp2: 31.40
Temp: 28.0000*C
Temp2: 31.60
Temp: 28.0625*C
Temp2: 31.60
Temp: 28.0625*C
Temp2: 31.60
Temp: 28.0625*C
Temp2: 31.50
Temp: 28.0625*C
Temp2: 31.70
Temp: 28.0625*C
Temp2: 31.60
Temp: 28.0625*C
Temp2: 31.60
Temp: 28.1250*C
Temp2: 31.60
Temp: 28.1250*C
Temp2: 31.60
Temp: 28.1250*C
Temp2: 31.80
Temp: 28.1250*C
Temp2: 31.70
Temp: 28.1875*C
Temp2: 31.70
Temp: 28.1875*C
Temp2: 31.70
Temp: 28.1875*C
Temp2: 31.70
Temp: 28.1875*C
Temp2: 31.80
Temp: 28.1875*C
Temp2: 31.90
Temp: 28.1875*C
Temp2: 31.80
Temp: 28.2500*C
Temp2: 31.80
Temp: 28.2500*C
Temp2: 31.80
Temp: 28.2500*C
Temp2: 31.80
Temp: 28.2500*C
Temp2: 31.80
Temp: 28.2500*C
Temp2: 31.90
Temp: 28.2500*C
Temp2: 31.90
Temp: 28.3125*C
Temp2: 32.00
Temp: 28.3125*C
Temp2: 31.90
Temp: 28.3750*C
Temp2: 31.90
Temp: 28.3750*C
Temp2: 31.90
Temp: 28.3750*C
Temp2: 32.00
Temp: 28.3750*C
Temp2: 32.00
Temp: 28.3750*C
Temp2: 32.00
Temp: 28.4375*C
Temp2: 32.00
Temp: 28.4375*C
